"code_point","char","utf8","name","multiascii","ascii"
"U+00100+","ǯ","c7af","LATIN SMALL LETTER EZH WITH CARON (U+01EF)","z","EZH"
"U+00100+","ǰ","c7b0","LATIN SMALL LETTER J WITH CARON (U+01F0)","j","j"
"U+00100+","Ǳ","c7b1","LATIN CAPITAL LETTER DZ (U+01F1)","D","DZ"
"U+00100+","ǲ","c7b2","LATIN CAPITAL LETTER D WITH SMALL LETTER Z (U+01F2)","D","Dz"
"U+00100+","ǳ","c7b3","LATIN SMALL LETTER DZ (U+01F3)","d","dz"
"U+00100+","Ǵ","c7b4","LATIN CAPITAL LETTER G WITH ACUTE (U+01F4)","G","G"
"U+00100+","ǵ","c7b5","LATIN SMALL LETTER G WITH ACUTE (U+01F5)","g","g"
"U+00100+","Ƕ","c7b6","LATIN CAPITAL LETTER HWAIR (U+01F6)","H","HWAIR"
"U+00100+","Ƿ","c7b7","LATIN CAPITAL LETTER WYNN (U+01F7)","D","WYNN"
"U+00100+","Ǹ","c7b8","LATIN CAPITAL LETTER N WITH GRAVE (U+01F8)","N","N"
"U+00100+","ǹ","c7b9","LATIN SMALL LETTER N WITH GRAVE (U+01F9)","n","n"
"U+00100+","Ǻ","c7ba","LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE (U+01FA)","A","A"
"U+00100+","ǻ","c7bb","LATIN SMALL LETTER A WITH RING ABOVE AND ACUTE (U+01FB)","a","a"
"U+00100+","Ǽ","c7bc","LATIN CAPITAL LETTER AE WITH ACUTE (U+01FC)","A","AE"
"U+00100+","ǽ","c7bd","LATIN SMALL LETTER AE WITH ACUTE (U+01FD)","a","ae"
"U+00100+","Ǿ","c7be","LATIN CAPITAL LETTER O WITH STROKE AND ACUTE (U+01FE)","O","O"
"U+00100+","ǿ","c7bf","LATIN SMALL LETTER O WITH STROKE AND ACUTE (U+01FF)","o","o"
"U+00100+","Ȁ","c880","LATIN CAPITAL LETTER A WITH DOUBLE GRAVE (U+0200)","A","A"
